"Image ID","Archive filename","Visible product/service title","Classification","Recommended existing category","Local development catalogue candidates (not production)","Review / duplicate note","Production duplicate check","Production upload status"
"001","a_bright_clean_commercial_advertising_poster_info.png","Cups","Product offering","Screen Printing","Cup Print — Screen Printing","cups / cup print (archive image IDs 001, 004; select/update an existing product rather than creating duplicates); Related local entry: Cup Print; treat as a possible existing item, not a new record.","Not checked — production Firebase access was declined","Not uploaded"
"002","a_bright_clean_commercial_infographic_advertiseme.png","School Bags","Product offering","Screen Printing","School Bags — Screen Printing","","Not checked — production Firebase access was declined","Not uploaded"
"003","a_bright_clean_commercial_infographic_poster_adve.png","Carry Bags","Product offering","Screen Printing","Carry Bags — Screen Printing","","Not checked — production Firebase access was declined","Not uploaded"
"004","a_bright_clean_commercial_poster_banner_for_custo.png","Cup Print","Product offering","Screen Printing","Cup Print — Screen Printing","cups / cup print (archive image IDs 001, 004; select/update an existing product rather than creating duplicates)","Not checked — production Firebase access was declined","Not uploaded"
"005","a_bright_clean_commercial_product_infographic_pos.png","One Way Vision","Product offering","Solvent Flex","One Way Vision — Solvent Flex","one way vision (archive image IDs 005, 075; select/update an existing product rather than creating duplicates)","Not checked — production Firebase access was declined","Not uploaded"
"006","a_bright_clean_modern_advertising_poster_infog.png","T-Shirts","Product offering","Screen Printing","T-Shirts — Screen Printing","","Not checked — production Firebase access was declined","Not uploaded"
"007","a_bright_clean_modern_advertising_poster_infogra.png","Posters","Product offering","Digital Printing","Posters — Digital Printing","","Not checked — production Firebase access was declined","Not uploaded"
"008","a_bright_clean_professionally_designed_promotion.png","Brochures","Product offering","Review: Digital Printing or Graphics Design","Brochures — Digital Printing; Brochures — Graphics Design","brochures (archive image IDs 008, 024, 060; select/update an existing product rather than creating duplicates); Local catalogue has this name in both categories.","Not checked — production Firebase access was declined","Not uploaded"
"009","a_bright_clean_professional_product_catalog_adve.png","ID Ribbons","Product offering","Screen Printing","ID Ribbons — Screen Printing","","Not checked — production Firebase access was declined","Not uploaded"
"010","a_bright_clean_promotional_infographic_flyer_post.png","Envelopes","Product offering","Review: Offset Printing or Screen Printing","Envelopes — Screen Printing; Envelopes — Offset Printing","Local catalogue has this name in both categories.","Not checked — production Firebase access was declined","Not uploaded"
"011","a_bright_detailed_promotional_infographic_adverti.png","Gloss Vinyl","Product offering","Solvent Flex","Gloss Vinyl — Solvent Flex","gloss vinyl (archive image IDs 011, 049; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
"012","a_bright_high_quality_advertising_poster_brochu.png","Backlit Signage","Product offering","Signage Board","Backlit Signage — Signage Board","backlit signage (archive image IDs 012, 022; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
"013","a_clean_advertising_poster_layout_for_printing_bil.png","Bill Books","Product offering","Offset Printing","Bill Books — Offset Printing","bill book (archive image IDs 013, 023, 057; select/update an existing product rather than creating duplicates); Related singular Bill Book entries also appear in the archive; do not create duplicates without checking production.","Not checked — production Firebase access was declined","Not uploaded"
"014","a_clean_bright_promotional_infographic_poster_lay.png","Social Media Posts","Product offering","Graphics Design","Social Media Posts — Graphics Design","Specific design service offering; present in the local development catalogue.","Not checked — production Firebase access was declined","Not uploaded"
"015","a_clean_colorful_commercial_infographic_advertisi.png","Pavti Books","Product offering","Offset Printing","Pavti Books — Offset Printing","","Not checked — production Firebase access was declined","Not uploaded"
"016","a_clean_colorful_graphic_advertising_poster_layou.png","Umbrellas","Product offering","Screen Printing","Umbrellas — Screen Printing","","Not checked — production Firebase access was declined","Not uploaded"
"017","a_clean_colorful_graphic_rich_advertising_infogr.png","Sunboard 3mm / 5mm","Product offering","Solvent Flex","Sunboard 3mm / 5mm — Solvent Flex","","Not checked — production Firebase access was declined","Not uploaded"
"018","a_clean_colorful_professional_advertising_poster.png","Wedding Cards","Product offering","Review: Digital, Offset, or Screen Printing","Wedding Cards — Screen Printing; Wedding Cards — Offset Printing","wedding cards (archive image IDs 018, 052, 069; select/update an existing product rather than creating duplicates); The local catalogue has multiple Wedding Cards entries/categories.","Not checked — production Firebase access was declined","Not uploaded"
"019","a_clean_colorful_promotional_infographic_poster_l.png","Visiting Cards","Product offering","Screen Printing","Visiting Cards — Digital Printing; Visiting Cards — Screen Printing; Visiting Cards — Graphics Design","visiting cards (archive image IDs 019, 053; select/update an existing product rather than creating duplicates); The image explicitly says Screen Printing.","Not checked — production Firebase access was declined","Not uploaded"
"020","a_clean_colorful_promotional_poster_style_layout.png","Calendars","Product offering","Review: Offset Printing or Graphics Design","Calendars — Offset Printing; Calendars — Graphics Design","calendars (archive image IDs 020, 073; select/update an existing product rather than creating duplicates); The image does not specify a process; local catalogue has both categories.","Not checked — production Firebase access was declined","Not uploaded"
"021","a_clean_commercial_advertising_infographic_flyer_s.png","Vinyl with Sunboard","Product offering","Solvent Flex","Vinyl with Sunboard — Solvent Flex","","Not checked — production Firebase access was declined","Not uploaded"
"022","a_clean_commercial_advertising_infographic_poster.png","Backlit Signage","Product offering","Signage Board","Backlit Signage — Signage Board","backlit signage (archive image IDs 012, 022; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
"023","a_clean_commercial_advertising_poster_layout_for.png","Bill Book","Product offering","Digital Printing","Bill Book — Digital Printing","bill book (archive image IDs 013, 023, 057; select/update an existing product rather than creating duplicates)","Not checked — production Firebase access was declined","Not uploaded"
"024","a_clean_commercial_infographic_advertisement_layou.png","Brochures & Catalogues","Product offering","Offset Printing","Brochure & Catalogues — Offset Printing","brochures (archive image IDs 008, 024, 060; select/update an existing product rather than creating duplicates); Local catalogue has a near-match named Brochure & Catalogues.","Not checked — production Firebase access was declined","Not uploaded"
"025","a_clean_commercial_infographic_poster_layout_for_m.png","Matt Vinyl","Product offering","Solvent Flex","Matt Vinyl — Solvent Flex","matt vinyl (archive image IDs 025, 070; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
"026","a_clean_commercial_print_advertisement_poster_flye.png","Flyers & Leaflets","Product offering","Offset Printing","Flyers & Leaflets — Offset Printing","","Not checked — production Firebase access was declined","Not uploaded"
"027","a_clean_commercial_product_advertisement_infogra.png","Star Flex","Product offering","Solvent Flex","Star Flex — Solvent Flex","star flex (archive image IDs 027, 072; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
"028","a_clean_commercial_product_advertisement_layout.png","Star Black Back","Product offering","Solvent Flex","Star Black Back — Solvent Flex","star black back (archive image IDs 028, 068; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
"029","a_clean_commercial_product_catalog_advertisement_i.png","Keychains","Product offering","Screen Printing","","No exact title match in the local development catalogue.","Not checked — production Firebase access was declined","Not uploaded"
"030","a_clean_commercial_product_catalog_flyer_style_i.png","Hospital Files","Product offering","Digital Printing","Hospital Files — Digital Printing","","Not checked — production Firebase access was declined","Not uploaded"
"031","a_clean_commercial_product_catalog_infographic_p.png","Stationery","Product offering","Digital Printing","","No exact title match in the local development catalogue.","Not checked — production Firebase access was declined","Not uploaded"
"032","a_clean_commercial_product_catalog_poster_layout.png","Corporate Gifts & Promotional Products","Non-product collection image","","","Collection of different gift/promotional items, not one product.","N/A","Excluded"
"033","a_clean_commercial_product_catalogue_poster_advert.png","Paper Bed","Product offering","Signage Board (existing local label; review)","Paper Bed — Signage Board","The local catalogue uses Signage Board, but the pictured bed-cover product makes this category uncertain.","Not checked — production Firebase access was declined","Not uploaded"
"034","a_clean_commercial_product_catalogue_poster_layout.png","Printing & Branding","Non-product service/brand image","","","General service/brand graphic, not a specific product.","N/A","Excluded"
"035","a_clean_commercial_split_promotional_poster_brochu.png","Banner Printing","Product offering","Banner Printing","Banner Printing — Banner Printing","banner printing (archive image IDs 035, 046; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
"036","a_clean_detailed_advertising_poster_banner_layout.png","Advertising Materials","Non-product collection image","","Advertising Materials — Banner Printing","Broad collection/marketing graphic, not one specific product.","N/A","Excluded"
"037","a_clean_graphic_advertising_poster_brochure_layo.png","Menu Cards","Product offering","Offset Printing","Menu Cards — Graphics Design; Menu Cards — Offset Printing","menu cards (archive image IDs 037, 062; select/update an existing product rather than creating duplicates); The image explicitly says Offset Printing.","Not checked — production Firebase access was declined","Not uploaded"
"038","a_clean_graphic_advertising_poster_brochure_sty.png","Printing & Branding","Non-product service/brand image","","","General service/brand graphic, not a specific product.","N/A","Excluded"
"039","a_clean_high_contrast_graphic_advertising_poster.png","Signage","Non-product category/service image","","","Generic category graphic; specific signage products are listed separately.","N/A","Excluded"
"040","a_clean_high_detail_commercial_advertising_poster.png","Hoarding Banners","Product offering","Graphics Design (existing local label; review)","Hoarding Banners — Graphics Design","The local development entry uses Graphics Design; Banner Printing may fit better. Verify against production taxonomy.","Not checked — production Firebase access was declined","Not uploaded"
"041","a_clean_high_resolution_commercial_infographic_po.png","Vinyl with Sunpack","Product offering","Solvent Flex","Vinyl with Sunpack — Solvent Flex","","Not checked — production Firebase access was declined","Not uploaded"
